,Place of interest,Type of place,Place address,BiciMAD station,Station location,Distance
0,Asambleas de Evangelización Mundial para Cristo (AEMC),no_catolicas,CALLE ANTONIA RODRIGUEZ SACRISTAN 8,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4256.791685108309
1,Asociación Darse - Dar Ayuda para la Reinserción Social España,no_catolicas,CAMINO ALTO DE SAN ISIDRO 16 PLANTA 2º C C,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,721.7844549042962
2,Asociación Tiempo Para Cuidar,no_catolicas,CALLE GENERAL LACY 24 PLANTA BAJA A,Delicias,Calle Bustamante nº 1,393.1047865087895
3,Asociación Visión Internacional,no_catolicas,CALLE DISCOBOLO 53,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3444.260438361289
4,Basílica Jesús de Medinaceli,catolicas,PLAZA JESUS 2,Huertas,Calle Jesús nº 1,82.22218408967886
